EVENT,WINNER,LOSER,WEIGHTCLASS,METHOD,ROUND,TIME
317,Ilia Topuria,Charles Oliveira,Lightweight,KO/TKO,1,2:27
317,Alexandre Pantoja,Kai Kara-France,Flyweight,SUB,3,1:55
317,Joshua Van,Brandon Royval,Flyweight,U-DEC,3,5:00
317,Beneil Dariush,Renato Moicano,Lightweight,U-DEC,3,5:00
317,Payton Talbott,Felipe Lima,Bantamweight,U-DEC,3,5:00
317,Gregory Rodrigues,Jack Hermansson,Middleweight,KO/TKO,1,4:21
317,Jose Delgado,Hyder Amil,Featherweight,KO/TKO,1,0:26
317,Tracy Cortez,Viviane Araujo,Women's Flyweight,U-DEC,3,5:00
317,Terrance McKinney,Viacheslav Borshchev,Lightweight,SUB,1,0:55
317,Jacobe Smith,Niko Price,Welterweight,SUB,2,4:03
317,Jhonata Diniz,Alvin Hines,Heavyweight,U-DEC,3,5:00
