,Name,RAT,VER,Price,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Weight,Height,Pos,AttackWorkRate,DefenseWorkRate
0,Pelé,99,Shapeshifters ICON  Explosive,2.88M,5,5,96,97,94,99,61,78,3080,525,2557,70.0,173,LW,H,M
1,Kevin De Bruyne,99,Level Up Obj  Controlled,0,5,5,88,95,99,97,91,99,1048,569,2743,70.0,181,CM,H,H
2,Cristiano Ronaldo,99,Futties Premium  Controlled,9.8M,5,5,97,99,93,97,41,88,4143,515,2499,83.0,187,ST,H,L
3,Lionel Messi,99,Futties Premium  Controlled,5.95M,5,5,95,98,99,99,41,81,2757,513,2506,67.0,169,ST,H,L
4,Neymar Jr,99,Futties  Explosive,0,5,5,99,96,95,99,50,78,1335,517,2531,68.0,175,CAM,H,M
5,Kylian Mbappé,99,Futties  Controlled,8.33M,5,5,99,98,92,99,45,87,1257,520,2497,73.0,182,ST,H,L
6,Zinedine Zidane,99,Cover Star Icon SBC  Controlled,1.74M,5,5,92,96,99,97,87,90,3726,561,2722,77.0,185,CAM,M,M
7,Karim Benzema,99,Futties Premium  Controlled,1.39M,5,5,97,99,93,98,50,97,993,534,2559,81.0,185,CF,H,M
8,Gianluigi Donnarumma,99,Futties Premium  Controlled,29K,2,5,99,95,92,99,77,98,1137,560,1064,90.0,196,GK,M,H
9,Erling Haaland,99,Futties Premium SBC  Controlled,1.26M,5,5,99,99,88,94,63,99,4554,542,2583,94.0,195,ST,H,M
10,Robert Lewandowski,99,Futties Premium  Controlled,1.39M,5,5,97,99,92,97,53,99,879,537,2581,81.0,185,ST,H,M
11,Lothar Matthäus,99,Cover Star Icon SBC  Controlled,1.21M,4,5,95,97,99,96,99,95,4193,581,2812,70.0,174,CM,H,H
12,Rafael Leão,99,Futties Premium SBC  Controlled,596.5K,5,5,99,96,93,99,43,93,2735,523,2478,81.0,188,LW,H,L
13,Thierry Henry,99,Cover Star Icon SBC  Controlled,1.1M,5,5,99,99,92,99,62,90,3015,541,2611,83.0,188,ST,H,M
14,Declan Rice,99,ShowDown SBC  Lengthy,116.6K,4,5,94,83,95,96,99,99,2079,566,2693,80.0,185,CDM,M,H
15,Jude Bellingham,99,Player Moments SBC  Controlled,758.6K,5,5,94,93,97,99,96,96,3597,575,2738,75.0,186,CM,H,H
16,Christopher Nkunku,99,Dynamic Duos  Explosive,125K,5,5,99,95,96,99,82,86,1696,557,2643,73.0,175,CF,H,M
17,Moussa Diaby,99,Dynamic Duos  Explosive,125K,5,5,99,94,95,99,60,87,1308,534,2523,68.0,170,RM,H,M
18,Harry Kane,99,Player Moments SBC  Controlled,958.3K,5,5,95,99,98,97,60,99,694,548,2666,89.0,188,ST,H,H
19,Pelé,98,Icon  Explosive,1.19M,5,4,95,96,93,96,60,76,4411,516,2513,70.0,173,CAM,H,M
20,Lionel Messi,98,TOTY  Controlled,837K,4,4,93,98,97,99,40,77,5945,504,2469,67.0,169,RW,H,L
21,Lionel Messi,98,TOTS  Controlled,579K,4,4,94,97,96,99,40,79,1567,505,2455,67.0,169,ST,H,L
22,Virgil van Dijk,98,Shapeshifters  Lengthy,0,4,5,92,80,90,91,98,96,1624,547,2612,92.0,193,CDM,M,H
23,Mané Garrincha,98,Shapeshifters ICON  Controlled,282K,5,4,94,98,90,98,46,84,1168,510,2470,72.0,169,ST,H,M
24,Thierry Henry,98,Shapeshifters ICON  Controlled,385K,5,5,98,95,93,98,70,86,1940,540,2586,83.0,188,RW,H,M
25,Kevin De Bruyne,98,Level Up  Controlled,2.72M,4,5,86,94,99,96,87,88,310,550,2640,70.0,181,CM,H,H
26,Leon Goretzka,98,Level Up  Lengthy,0,4,5,93,93,95,94,93,98,532,566,2687,82.0,189,CM,H,H
27,Vinícius Júnior,98,Explosive,0,5,5,99,94,94,99,45,85,7189,516,2476,73.0,176,LW,H,M
28,Ronaldinho,98,Cover Star Icon  Controlled,2.64M,5,5,98,94,95,99,50,88,2634,524,2513,78.0,180,CAM,H,M
29,Lúcio,98,Futties Hero  Controlled,1.14M,4,5,93,83,87,93,98,97,1578,551,2628,84.0,188,CB,M,H
30,Alisson,98,Futties  Lengthy,27K,2,5,97,96,94,99,66,98,882,550,1093,91.0,191,GK,M,M
31,Marcus Rashford,98,Futties  Controlled,287K,5,5,99,97,95,98,60,92,1494,541,2609,70.0,186,LW,H,M
32,Sidney Govou,98,Futties Hero  Explosive,928.9K,5,4,99,99,94,99,65,82,3115,538,2594,75.0,175,ST,H,M
33,Alessandro Del Piero,98,Cover Star Icon  Explosive,1.28M,5,5,96,98,93,99,50,80,1031,516,2522,74.0,174,CF,H,M
34,Paulo Dybala,98,Futties Premium  Explosive,214K,5,5,97,98,97,99,52,82,1060,525,2564,75.0,177,CF,H,L
35,Claudio Marchisio,98,Futties Hero  Controlled,300K,5,5,96,96,98,98,93,94,1259,575,2755,74.0,180,CM,H,H
36,Abedi Pelé,98,Futties Hero  Explosive,86.5K,5,5,99,93,96,98,57,82,635,525,2542,67.0,174,CAM,H,M
37,Martin Ødegaard,98,Futties Premium SBC  Explosive,134.15K,5,5,94,92,99,97,84,82,1184,548,2635,68.0,178,CAM,H,M
38,Min Jae Kim,98,Player Moments SBC  Lengthy,152.75K,3,5,96,49,84,88,97,99,1074,513,2382,81.0,190,CB,M,H
39,Jordi Alba Ramos,98,Player Moments  Controlled,0,5,4,98,87,97,98,93,92,457,565,2715,68.0,170,LB,H,H
40,Sandro Tonali,98,Player Moments  Controlled,0,5,5,95,91,97,96,96,98,279,573,2749,79.0,181,CDM,M,H
41,Eldor Shomurodov,98,Player Moments SBC,108.9K,4,5,99,98,88,99,65,95,-89,544,2579,,190,ST,H,M
42,Karim Benzema,97,TOTY  Controlled,164K,4,5,92,97,90,94,45,90,4961,508,2449,81.0,185,CF,H,M
43,Kylian Mbappé,97,TOTY  Controlled,3.37M,5,4,99,96,88,98,44,87,3677,512,2455,73.0,182,ST,H,L
44,Kevin De Bruyne,97,TOTY  Controlled,198K,4,5,85,94,98,94,81,86,2431,538,2593,70.0,181,CM,H,H
45,Zinedine Zidane,97,Trophy Titans - ICON  Controlled,260K,5,5,86,92,96,95,81,88,1731,538,2581,77.0,185,CAM,H,H
46,Ronaldo,97,Trophy Titans - ICON  Controlled,1.31M,5,5,97,96,82,96,45,82,3545,498,2393,78.0,183,ST,H,M
47,Kevin De Bruyne,97,TOTS  Controlled,35K,4,5,84,92,99,95,85,87,2322,542,2603,70.0,181,CM,H,H
48,Erling Haaland,97,TOTS  Controlled,248K,4,5,97,97,82,90,61,95,1899,522,2457,94.0,195,ST,H,M
49,Jude Bellingham,97,TOTS  Controlled,157K,4,5,90,90,94,98,93,94,2126,559,2647,75.0,186,CM,H,H
50,Jamal Musiala,97,TOTS  Controlled,26K,5,4,94,88,92,98,81,86,1909,539,2536,70.0,183,CAM,H,M
51,Robert Lewandowski,97,TOTS  Controlled,48K,4,5,90,99,86,93,51,90,3033,509,2473,81.0,185,ST,H,M
