RAT,Popularity,BS,IGS,PAC,SHO,Price_num
99,3080,525,2557,96,97,2880000.0
99,4143,515,2499,97,99,9800000.0
99,2757,513,2506,95,98,5950000.0
99,1257,520,2497,99,98,8330000.0
99,3726,561,2722,92,96,1740000.0
99,993,534,2559,97,99,1390000.0
99,1137,560,1064,99,95,29000.0
99,4554,542,2583,99,99,1260000.0
99,879,537,2581,97,99,1390000.0
99,4193,581,2812,95,97,1210000.0
99,2735,523,2478,99,96,596500.0
99,3015,541,2611,99,99,1100000.0
99,2079,566,2693,94,83,116600.0
99,3597,575,2738,94,93,758600.0
99,1696,557,2643,99,95,125000.0
99,1308,534,2523,99,94,125000.0
99,694,548,2666,95,99,958300.0
98,4411,516,2513,95,96,1190000.0
98,5945,504,2469,93,98,837000.0
98,1567,505,2455,94,97,579000.0
98,1168,510,2470,94,98,282000.0
98,1940,540,2586,98,95,385000.0
98,310,550,2640,86,94,2720000.0
98,2634,524,2513,98,94,2640000.0
98,1578,551,2628,93,83,1140000.0
98,882,550,1093,97,96,27000.0
98,1494,541,2609,99,97,287000.0
98,3115,538,2594,99,99,928900.0
98,1031,516,2522,96,98,1280000.0
98,1060,525,2564,97,98,214000.0
98,1259,575,2755,96,96,300000.0
98,635,525,2542,99,93,86500.0
98,1184,548,2635,94,92,134150.0
98,1074,513,2382,96,49,152750.0
97,4961,508,2449,92,97,164000.0
97,3677,512,2455,99,96,3370000.0
97,2431,538,2593,85,94,198000.0
97,1731,538,2581,86,92,260000.0
97,3545,498,2393,97,96,1310000.0
97,2322,542,2603,84,92,35000.0
97,1899,522,2457,97,97,248000.0
97,2126,559,2647,90,90,157000.0
97,1909,539,2536,94,88,26000.0
97,3033,509,2473,90,99,48000.0
97,783,510,2455,93,96,258000.0
97,2629,542,2643,87,87,26750.0
97,1525,510,2440,99,97,1620000.0
97,1793,510,2409,99,93,170000.0
97,1506,522,2461,99,97,30500.0
97,106,510,2440,99,97,3990000.0
97,187,522,2457,97,97,690000.0
97,347,509,2473,90,99,105000.0
97,1137,542,2615,96,93,40000.0
97,1193,536,2557,97,92,369000.0
97,1065,558,2682,93,86,68500.0
97,1318,538,2576,90,80,258000.0
97,1330,540,2592,95,97,112000.0
97,694,529,2559,97,94,600000.0
97,722,531,2554,95,97,400000.0
